influencer_id,platform,date,URL,caption,reach,likes,comments
21,Instagram,2025-06-04,http://www.porter.info/,Court central interview threat.,16541,883,155
66,Instagram,2024-09-08,https://johnson.com/,Bar too join court.,124095,2535,794
24,Instagram,2025-02-23,https://www.rogers.com/,Stuff physical major no section cup near yard.,128003,9106,1499
77,Instagram,2024-08-08,http://moore.net/,Similar walk go gas people left nothing inside.,28744,1623,232
87,Instagram,2025-06-28,http://www.griffin.biz/,Hotel deep money song finally.,137467,8555,2083
52,Instagram,2024-12-26,https://www.ellis.com/,Look every describe modern maintain member ever.,224565,7459,1898
73,Instagram,2024-10-14,https://wise-johnson.biz/,Give development fire fine resource offer mouth place.,91414,6354,695
75,Twitter,2025-02-11,http://thomas.com/,Speak fear hand paper.,149157,4157,599
6,Twitter,2025-05-25,https://www.parsons-turner.com/,Their still family visit find.,156206,12047,1505
11,YouTube,2025-01-19,https://www.hunt-clayton.com/,Forget visit them practice authority artist direction.,131700,7537,892
85,Twitter,2024-10-07,https://frazier-jacobs.biz/,Environment agent support be morning still around.,24321,1964,238
73,Twitter,2024-09-23,https://white.com/,Area own apply relationship buy.,117445,-281,1657
41,YouTube,2024-09-27,https://smith-johnson.com/,Line eat risk itself relationship security training find.,178994,7879,1872
27,Twitter,2024-10-19,https://hebert.biz/,Wait skin high clearly week reduce.,20530,936,241
92,YouTube,2025-05-16,https://schultz-mcmillan.com/,Accept our seat year field.,58411,2315,347
31,YouTube,2024-08-04,http://gonzalez.org/,Behavior play charge music officer.,38336,2618,446
51,Instagram,2024-10-09,http://www.proctor.com/,With move seven anyone.,166272,10020,1743
86,Twitter,2024-11-27,http://ochoa-gonzales.biz/,Reflect listen hospital campaign.,151385,5443,1265
39,YouTube,2024-07-27,http://leon.com/,Program last lay while serve still federal.,91132,1889,1046
41,Instagram,2025-03-13,https://www.clark.com/,Him entire ask history citizen.,186615,9349,1647
2,YouTube,2025-04-03,http://adams.com/,Fear general nation letter.,87380,3633,724
80,Twitter,2024-08-31,https://www.silva-williams.com/,School just trial particularly act citizen firm.,146422,6848,1760
13,Instagram,2025-06-09,https://www.williams.com/,Chance place message full.,27223,1456,307
69,Instagram,2025-04-23,https://mcclure.org/,Structure religious provide his wind street.,48015,558,473
65,YouTube,2025-05-29,https://cooper.com/,Coach level help lay.,71958,7142,650
17,YouTube,2024-08-28,http://www.chavez-jones.info/,You small answer hope participant.,42227,2082,175
9,Instagram,2024-09-12,https://www.zhang-ray.com/,Capital carry again.,15399,1001,214
48,YouTube,2025-05-25,https://www.rollins.com/,Administration improve left arrive look.,10929,853,32
21,YouTube,2024-10-24,http://www.young-garcia.net/,Price then nature always study share.,16012,1502,80
70,Twitter,2025-06-11,http://www.daniels.com/,Skin consumer toward might role event.,36060,1874,269
39,Twitter,2025-04-19,http://www.wright.biz/,Former sell individual level professional north.,61868,3178,290
84,Twitter,2024-12-09,http://www.osborne-andrews.com/,Vote majority case under.,201746,6377,3580
2,Twitter,2024-09-07,https://www.dawson.com/,Food suffer who past.,108750,4737,1529
71,YouTube,2025-01-27,http://www.jones-rose.com/,Box beautiful first day structure.,97385,5312,1610
85,Instagram,2024-07-23,http://www.rogers-brown.com/,His grow message foot summer yet law.,13341,716,150
18,YouTube,2025-03-21,https://www.hill.com/,Must political need free.,67702,1710,230
15,Instagram,2025-01-15,https://www.williams.com/,Standard writer place many key include ago.,207501,11607,2334
96,Twitter,2025-06-05,http://dean.org/,Western future term Republican.,38428,1398,428
20,YouTube,2024-09-21,https://www.navarro.com/,Prove close Mr father magazine truth plan indicate.,71772,2563,1387
37,Twitter,2024-09-22,http://king-haynes.com/,Unit cup these know upon least.,109884,2876,1459
27,Twitter,2025-05-24,http://www.lewis-frazier.com/,Among quickly thought black require opportunity ten offer.,30864,2029,487
44,Instagram,2025-03-07,http://sherman.com/,Oil instead two huge could which.,104887,7265,1265
88,Twitter,2024-09-02,https://www.rodriguez-morgan.com/,Whole together yard.,112194,9865,984
34,Twitter,2025-03-30,https://gray-tran.com/,Paper relationship local.,69292,2231,410
63,YouTube,2025-02-21,https://www.huber.com/,Season decide plant management field across.,51358,2918,584
7,Instagram,2024-09-27,https://www.santiago.com/,Prevent doctor me you.,27820,1398,480
82,YouTube,2025-03-18,https://www.donaldson-davis.info/,Possible firm military consumer.,48841,5099,641
36,Instagram,2025-01-26,https://www.jackson-howard.com/,Like sport bag car more before from.,41453,1184,514
1,YouTube,2024-10-31,https://price.com/,Series consider computer part move college without possible.,23973,1540,296
99,Instagram,2024-10-21,http://www.clements.biz/,Source record radio his direction team.,195359,6459,473
82,YouTube,2024-10-16,https://www.turner-lewis.com/,Value magazine soon within year physical develop.,46463,3118,514
21,Twitter,2025-02-28,https://watkins.net/,Watch record she important exist activity inside.,9615,514,114
57,Twitter,2025-03-22,https://moyer.biz/,Under article cause movie ever both.,141418,7505,1455
91,YouTube,2024-07-24,https://www.fuentes.biz/,Without eat information think company land.,66393,3794,850
72,Instagram,2024-11-16,http://hart-terry.info/,Often success without buy as raise.,187288,13311,582
15,Instagram,2025-04-04,http://johnson.org/,Wish sing light imagine identify dinner admit fill.,140516,8473,1766
89,Instagram,2024-10-13,http://morris.com/,Crime or their thank impact but strategy.,164762,20933,2117
70,Instagram,2024-11-23,http://navarro.info/,Management buy later process different.,53933,3725,714
48,Twitter,2024-10-21,http://www.gray-lloyd.net/,Throughout kind Mr base.,13030,849,79
71,Instagram,2024-08-20,https://wyatt-olson.com/,According data security its.,132343,5332,1377
