source,brand,campaign,influencer_id,user_id,product,date,orders,revenue
Twitter,MuscleBlaze,Winter Bulk,63,fb9ed4f0-e884-49ad-96f9-eb7397a9a4fa,Protein Powder,2025-01-05,3,198.32
YouTube,Gritzo,New Year Fit,10,b7fd35ec-7f61-494a-a1cb-d9ef84e403d0,Vitamins,2025-02-28,4,274.2
Instagram,Gritzo,Summer Shred,57,5d4d8b82-8dc3-4df7-bfba-d0c5cedd2b3a,Creatine,2025-04-27,1,66.14
YouTube,HKVitals,Summer Shred,45,4752cb22-fb66-4469-a9c3-76ba580f71f3,Creatine,2024-12-05,3,214.15
YouTube,Gritzo,Winter Bulk,21,01942ef6-eb08-48de-b308-1218c78b15d0,Creatine,2024-11-07,1,127.55
Twitter,MuscleBlaze,Summer Shred,29,6a405326-4513-4a19-a8e4-d4656dea8513,Vitamins,2025-06-10,0,0.0
Instagram,HKVitals,New Year Fit,31,b2709192-16b1-4a04-afb4-df8772fab241,Protein Powder,2025-01-13,2,100.16
Instagram,Gritzo,Healthy Start,71,5543b009-15a8-4dcc-b29a-c00655917376,Gainers,2025-04-04,3,405.61
Twitter,HKVitals,Summer Shred,17,f2e93d36-ffe1-4091-8269-946a4e46ddd4,Protein Powder,2025-02-28,5,445.34
Instagram,HKVitals,New Year Fit,51,43ca4a56-9c3f-4dda-8710-f9cd359d2a48,Gainers,2025-05-11,4,513.12
Instagram,HKVitals,Summer Shred,74,29d03be1-2348-4d08-8676-20e6c245ea7c,Vitamins,2024-12-14,3,416.87
YouTube,HKVitals,Summer Shred,83,218d19a6-485a-4627-96b1-c7f34c350997,Gainers,2025-06-04,2,173.66
YouTube,Gritzo,Healthy Start,88,1645874c-3152-43e5-ab1e-930d10b5fa08,Vitamins,2025-03-13,2,50.21
Instagram,HKVitals,Winter Bulk,82,51f684b6-3783-4ee0-ab12-f1f790d5ff70,Vitamins,2024-09-27,1,147.19
YouTube,Gritzo,Summer Shred,65,2164c11c-296d-4dcc-8e95-a00c07f230b1,Protein Powder,2025-02-04,3,321.73
Instagram,MuscleBlaze,Healthy Start,20,fd8f447e-6da9-4088-aa9a-f4036ad42772,Vitamins,2024-10-07,4,594.97
Twitter,Gritzo,Winter Bulk,42,2f826f3e-b832-46f2-b18c-5f8fac2094d7,Creatine,2025-07-07,0,0.0
Twitter,MuscleBlaze,Summer Shred,37,45fc8fb8-5fcb-47ed-9059-cbfaf1a602eb,Creatine,2024-12-16,2,284.02
